date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
19621030,1962,62137,USSR,NZ RUSS,DOE,73,55,0,0,0,280,280,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621030,1962,62138,USA,JOHNSTON IS,DOE,16.45,-169.32,0,0,0,8300,8300,WEAPONS DEVELOPMENT PROGRAM,HOUSATONIC,AIRDROP
19621031,1962,62139,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,10,10,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621101,1962,62140,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,3,3,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621101,1962,62141,USSR,NZ RUSS,DOE,73,55,0,0,0,240,240,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621101,1962,62142,USSR,MTR RUSS,DOE,48,46,0,0,0,300,300,BRITISH/FRENCH/US NUCLEAR STUDY,NA,ATMOSPHERE
19621101,1962,62143,USA,JOHNSTON IS,DOE,16.45,-169.32,0,0,0,200,1000,BRITISH/FRENCH/US NUCLEAR STUDY,KINGFISH,ROCKET
19621103,1962,62144,USSR,NZ RUSS,DOE,73,55,0,0,0,390,390,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621103,1962,62145,USSR,NZ RUSS,DOE,73,55,0,0,0,45,45,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621103,1962,62146,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4.7,4.7,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621104,1962,62147,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,8.4,8.4,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621104,1962,62148,USA,JOHNSTON IS,DOE,16.45,-169.32,0,0,0,0,20,BRITISH/FRENCH/US NUCLEAR STUDY,TIGHTROPE,ROCKET
19621105,1962,62149,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.4,0.4,BRITISH/FRENCH/US NUCLEAR STUDY,NA,SURFACE
19621109,1962,62150,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,ST.LAWRENCE,SHAFT
19621111,1962,62151,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.1,0.1,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19621113,1962,62152,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0,0.001,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19621114,1962,62153,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,12,12,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621115,1962,62154,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,GUNDI,SHAFT
19621117,1962,62155,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,18,18,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621124,1962,62156,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0,0.001,SOVIET NUCLEAR STUDY,NA,SURFACE
19621126,1962,62157,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.031,0.031,SOVIET NUCLEAR STUDY,NA,SURFACE
19621127,1962,62158,USA,NTS,DOE,37,-116,0,0,0,0,20,PEACEFUL NUCLEAR EXPLOSION,ANACOSTIA,SHAFT
19621201,1962,62159,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,2.4,2.4,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621204,1962,62160,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,TAUNTON,SHAFT
19621207,1962,62161,UK,NTS,UGS,37.1,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,TENDRAC,SHAFT
19621212,1962,62162,USA,NTS,UGS,74.3,52.4,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,MADISON,TUNNEL
19621212,1962,62163,USA,NTS,UGS,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,NUMBAT,SHAFT
19621214,1962,62164,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,MANATEE,SHAFT
19621218,1962,62165,USSR,NZ RUSS,DOE,73,55,0,0,0,110,110,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621218,1962,62166,USSR,NZ RUSS,DOE,73,55,0,0,0,69,69,SOVIET NUCLEAR STUDY,NA,ATMOSPHERE
19621220,1962,62167,USSR,NZ RUSS,DOE,73,55,0,0,0,8.3,8.3,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621222,1962,62168,USSR,NZ RUSS,DOE,73,55,0,0,0,6.3,6.3,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621223,1962,62169,USSR,NZ RUSS,DOE,73,55,0,0,0,430,430,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621223,1962,62170,USSR,NZ RUSS,MTM,73,55,0,0,0,8.3,8.3,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621223,1962,62171,USSR,NZ RUSS,MTM,73,55,0,0,0,2.4,2.4,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621223,1962,62172,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0,0.001,SOVIET NUCLEAR STUDY,NA,SURFACE
19621224,1962,62173,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.007,0.007,SOVIET NUCLEAR STUDY,NA,SURFACE
19621224,1962,62174,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.028,0.028,SOVIET NUCLEAR STUDY,NA,SURFACE
19621224,1962,62175,USSR,NZ RUSS,UGS,74.2,52.3,0,0,0,24200,24200,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621224,1962,62176,USSR,NZ RUSS,UGS,73.6,57.5,0,0,0,1100,1100,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621225,1962,62177,USSR,NZ RUSS,UGS,73.4,56.5,0,0,0,3100,3100,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19621225,1962,62178,USSR,NZ RUSS,MTM,73,55,0,0,0,8.5,8.5,WEAPONS DEVELOPMENT PROGRAM,NA,ATMOSPHERE
19630208,1963,63001,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,CASSELMAN,SHAFT
19630208,1963,63002,USA,NTS,DOE,37,-116,4.5,0,0.3,0,20,WEAPONS DEVELOPMENT PROGRAM,ACUSHI,SHAFT
19630208,1963,63003,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,FERRET,SHAFT
19630208,1963,63004,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,HATCHIE,SHAFT
19630215,1963,63005,USA,NTS,DOE,37,-116,0,0,0,0,20,US/FRANCE NUCLEAR SAFETY TESTING,CHIPMUNK,SHAFT
19630221,1963,63006,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,CARMEL,SHAFT
19630221,1963,63007,USA,NTS,DOE,37,-116,0,0,0,0,20,PEACEFUL NUCLEAR EXPLOSION,KAWEAH,SHAFT
19630301,1963,63008,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,JERBOA,SHAFT
19630315,1963,63009,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,TOYAH,SHAFT
19630318,1963,63010,FRANCE,IN ECKER ALG,UGS,24,5,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,EMERAUDE,GALLERY
19630329,1963,63011,USA,NTS,UGS,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,GERBIL,SHAFT
19630330,1963,63012,FRANCE,IN ECKER ALG,DOE,24,5,0,0,0,0,5,WEAPONS DEVELOPMENT PROGRAM,AMETHYSTE,GALLERY
19630405,1963,63013,USA,NTS,UGS,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,FERRET PRIME,SHAFT
19630410,1963,63014,USA,NTS,DOE,37,-116,0,0,0,0,20,US/FRANCE NUCLEAR SAFETY TESTING,COYPU,SHAFT
19630411,1963,63015,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,CUMBERLAND,SHAFT
19630424,1963,63016,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,KOOTANAI,SHAFT
19630424,1963,63017,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,PAISANO,SHAFT
19630509,1963,63018,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,GUNDI PRIME,SHAFT
19630515,1963,63043,USA,NELLIS NV,DOE,37,-115,0,0,0,0,0,TRANSPORTATION EXPLOSION,DOUBLE TRACKS,SURFACE
19630517,1963,63019,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,HARKEE,SHAFT
19630517,1963,63020,USA,NTS,DOE,37,-116,0,0,0,0,20,US/FRANCE NUCLEAR SAFETY TESTING,TEJON,SHAFT
19630522,1963,63021,USA,NTS,UGS,37.1,-116,0,0,0,20,200,WEAPONS DEVELOPMENT PROGRAM,STONES,SHAFT
19630525,1963,63044,USA,NELLIS NV,DOE,37,-115,0,0,0,0,0,TRANSPORTATION EXPLOSION,CLEAN SLATE:I,SURFACE
19630529,1963,63022,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,PLEASANT,SHAFT
19630531,1963,63045,USA,NELLIS NV,DOE,37,-115,0,0,0,0,0,TRANSPORTATION EXPLOSION,CLEAN SLATE:II,SURFACE
19630605,1963,63023,USA,NTS,UGS,37.2,-116.2,0,0,0,3.1,3.1,WEAPONS DEVELOPMENT PROGRAM,YUBA,TUNNEL
19630606,1963,63024,USA,NTS,UGS,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,HUTIA,SHAFT
19630606,1963,63025,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,APSHAPA,SHAFT
19630609,1963,63046,USA,NELLIS NV,DOE,37,-115,0,0,0,0,0,TRANSPORTATION EXPLOSION,CLEAN SLATE:III,SURFACE
19630614,1963,63026,USA,NTS,UGS,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,MATACO,SHAFT
19630625,1963,63027,USA,NTS,UGS,37.1,-116.1,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,KENNEBEC,SHAFT
19630812,1963,63028,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,PEKAN,SHAFT
19630815,1963,63029,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,SATSOP,SHAFT
19630823,1963,63030,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,NATCHES/KOHOCTO,SHAFT
19630913,1963,63031,USA,NTS,UGS,37.2,-116.1,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,AHTANUM,SHAFT
19630913,1963,63032,USA,NTS,UGS,37.1,-116,0,0,0,249,249,WEAPONS DEVELOPMENT PROGRAM,EILBY,SHAFT
19630927,1963,63047,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,CARP,SHAFT
19630927,1963,63048,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,NARRAGUAGUS,SHAFT
19631011,1963,63033,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,GRUNION,SHAFT
19631011,1963,63034,USA,NTS,DOE,37,-116,0,0,0,0,20,PEACEFUL NUCLEAR EXPLOSION,TORNILLO,SHAFT
19631016,1963,63035,USA,NTS,DOE,37,-116,5.3,0,0.6,20,200,WEAPONS DEVELOPMENT PROGRAM,CLEARWATER,SHAFT
19631017,1963,63049,USA,NTS,DOE,37,-116,0,0,0,0,20,US/FRANCE NUCLEAR SAFETY TESTING,MULLET,SHAFT
19631020,1963,63036,FRANCE,IN ECKER ALG,UGS,24.1,5.1,0,0,0,0,150,WEAPONS DEVELOPMENT PROGRAM,RUBIS,GALLERY
19631026,1963,63037,USA,FALLON NV,DOE,39.2,-118.38,0,0,0,12,12,PEACEFUL NUCLEAR EXPLOSION,SHOAL,SHAFT
19631114,1963,63038,USA,NTS,UGS,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,ANCHOVY,SHAFT
19631115,1963,63039,USA,NTS,UGS,37.1,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,MUSTANG,SHAFT
19631122,1963,63040,USA,NTS,UGS,37.1,-116,0,0,0,20,200,WEAPONS DEVELOPMENT PROGRAM,GREYS,SHAFT
19631204,1963,63041,USA,NTS,UGS,36.9,-116.3,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,SARDINE/BARRACU,SHAFT
19631212,1963,63042,USA,NTS,UGS,37.1,-115.9,0,0,0,5.3,5.3,WEAPONS DEVELOPMENT PROGRAM,EAGLE,SHAFT
19631220,1963,63050,USA,NTS,DOE,37,-116,0,0,0,10,20,WEAPONS DEVELOPMENT PROGRAM,TUNA,SHAFT
19640116,1964,64001,USA,NTS,UGS,37.1,-116,0,0,0,20,200,WEAPONS DEVELOPMENT PROGRAM,FORE,SHAFT
19640123,1964,64002,USA,NTS,UGS,37.1,-116,0,0,0,10.5,10.5,WEAPONS DEVELOPMENT PROGRAM,OCOKTO,SHAFT
19640130,1964,64044,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,CLUB,SHAFT
19640212,1964,64045,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,SOLENDON,SHAFT
19640213,1964,64046,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,BUNKER,SHAFT
19640214,1964,64003,FRANCE,IN ECKER ALG,DOE,24.054,5.053,0,0,0,0,5,WEAPONS DEVELOPMENT PROGRAM,OPALE,GALLERY
19640218,1964,64047,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,BONEFISH,SHAFT
19640218,1964,64048,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,MACKAREL,SHAFT
19640220,1964,64004,USA,NTS,UGS,37.2,-116,0,0,0,20,200,PEACEFUL NUCLEAR EXPLOSION,KLICKITAT,SHAFT
19640312,1964,64049,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,HANDICAP,SHAFT
19640313,1964,64005,USA,NTS,UGS,37.1,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,PIKE,SHAFT
19640315,1964,64006,USSR,SEMI KAZAKH,UGS,49.7,78,5.6,0,0,20,150,BRITISH/FRENCH/US NUCLEAR STUDY,NA,TUNNEL
19640414,1964,64007,USA,NTS,UGS,37.1,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,HOOK,SHAFT
19640415,1964,64008,USA,NTS,UGS,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,STURGEON,SHAFT
19640417,1964,64050,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,BOGEY,SHAFT
19640424,1964,64009,USA,NTS,UGS,37.1,-116.1,0,0,0,20,200,WEAPONS DEVELOPMENT PROGRAM,TURF,SHAFT
19640429,1964,64010,USA,NTS,UGS,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,PIPEFISH,SHAFT
19640507,1964,64051,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,DRIVER,SHAFT
19640514,1964,64011,USA,NTS,UGS,37.1,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,BACKSWING,SHAFT
19640515,1964,64012,USA,NTS,UGS,37,-116.1,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,MINNOW,SHAFT
19640516,1964,64013,USSR,SEMI KAZAKH,UGS,49.9,78.3,5.6,0,0,20,150,WEAPONS DEVELOPMENT PROGRAM,NA,TUNNEL
19640606,1964,64014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.001,20,SOVIET NUCLEAR STUDY,NA,TUNNEL
19640611,1964,64015,USA,NTS,UGS,37.2,-116.1,0,0,0,0,20,PEACEFUL NUCLEAR EXPLOSION,ACE,SHAFT
19640612,1964,64052,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,BITTERLING,SHAFT
19640615,1964,64016,FRANCE,IN ECKER ALG,DOE,24.067,5.034,0,0,0,0,5,UNKNOWN,TOPAZE,GALLERY
19640618,1964,64053,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,DUFFER,SHAFT
19640625,1964,64017,USA,NTS,UGS,37.1,-116.1,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,FADE,SHAFT
19640630,1964,64018,USA,NTS,UGS,37.2,-116.1,0,0,0,0,20,PEACEFUL NUCLEAR EXPLOSION,DUB,SHAFT
19640716,1964,64019,USA,NTS,UGS,37.2,-116.1,0,0,0,20,200,WEAPONS DEVELOPMENT PROGRAM,BYE,SHAFT
19640717,1964,64020,UK,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,CORMORANT,SHAFT
19640719,1964,64021,USSR,SEMI KAZAKH,UGS,49.9,78.1,5.5,0,0,20,150,SOVIET NUCLEAR STUDY,NA,TUNNEL
19640723,1964,64054,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,LINKS,SHAFT
19640724,1964,64055,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,TROGON,SHAFT
19640818,1964,64022,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.001,20,WEAPONS DEVELOPMENT PROGRAM,NA,TUNNEL
19640819,1964,64023,USA,NTS,UGS,37.2,-116.1,0,0,0,4.4,4.4,WEAPONS DEVELOPMENT PROGRAM,ALVA,SHAFT
19640822,1964,64024,USA,NTS,UGS,37.1,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,CANVASBACK,SHAFT
19640827,1964,64056,USA,NTS,DOE,37,-116,0,0,0,0,20,US/FRANCE NUCLEAR SAFETY TESTING,PLAYER,SHAFT
19640828,1964,64025,USA,NTS,UGS,37.1,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,HADDOCK,SHAFT
19640904,1964,64026,USA,NTS,UGS,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,GUANAY,SHAFT
19640911,1964,64057,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,SPOON,SHAFT
19640918,1964,64027,USSR,NZ RUSS,UGS,72.9,55.2,4.3,0,0,0.001,20,SOVIET NUCLEAR STUDY,NA,TUNNEL
19640925,1964,64058,UK,NTS,DOE,37,-116,0,0,0,0,0,WEAPONS DEVELOPMENT PROGRAM,COURSER,SHAFT
19640930,1964,64028,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.001,20,SOVIET NUCLEAR STUDY,NA,TUNNEL
19641002,1964,64029,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,AUK,SHAFT
19641009,1964,64030,USA,NTS,DOE,37,-116,0,0,0,38,38,PEACEFUL NUCLEAR EXPLOSION,PAR,SHAFT
19641016,1964,64031,CHINA,LOP NOR,DOE,41.5,89,0,0,0,22,22,WEAPONS DEVELOPMENT PROGRAM,NA,TOWER
19641016,1964,64032,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,BARBELTURNSTONE,SHAFT
19641022,1964,64033,USA,HATTIESB MS,DOE,31,-89,0,0,0,5.3,5.3,PEACEFUL NUCLEAR EXPLOSION,SALMON,SHAFT
19641023,1964,64059,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,GARDEN,SHAFT
19641025,1964,64034,USSR,NZ RUSS,UGS,73.5,53.7,4.9,0,0,0.001,20,PEACEFUL NUCLEAR EXPLOSION,NA,TUNNEL
19641031,1964,64035,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,FOREST,SHAFT
19641105,1964,64036,USA,NTS,UGS,37.2,-116.1,0,0,0,12,12,PEACEFUL NUCLEAR EXPLOSION,HANDCAR,SHAFT
19641116,1964,64037,USSR,SEMI KAZAKH,UGS,49.7,78,6,0,0,20,150,PEACEFUL NUCLEAR EXPLOSION,NA,TUNNEL
19641128,1964,64038,FRANCE,IN ECKER ALG,DOE,24.042,5.041,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,TURQUOISE,GALLERY
19641205,1964,64039,USA,NTS,UGS,37.1,-116.1,0,0,0,20,200,WEAPONS DEVELOPMENT PROGRAM,CREPE,SHAFT
19641205,1964,64040,USA,NTS,UGS,37.1,-116.1,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,DRILL,SHAFT
19641216,1964,64041,USA,NTS,UGS,37,-116,0,0,0,1.3,1.3,WEAPONS DEVELOPMENT PROGRAM,PARROT,SHAFT
19641216,1964,64042,USA,NTS,UGS,37,-116.1,0,0,0,2.7,2.7,BRITISH/FRENCH/US NUCLEAR STUDY,MUDPACK,SHAFT
19641216,1964,64060,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,CASSOWARYHOOPOE,SHAFT
19641218,1964,64043,USA,NTS,UGS,37,-116.3,0,0,0,0.092,0.092,PEACEFUL NUCLEAR EXPLOSION,SULKY,SHAFT
19650114,1965,65001,USA,NTS,ISC,37.07,-116.01,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,WOOL,SHAFT
19650115,1965,65002,USSR,SEMI KAZAKH,ISC,49.88,78.96,5.8,0,0,140,140,PEACEFUL NUCLEAR EXPLOSION,CHAGAN,SHAFT
19650129,1965,65051,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,TERN,SHAFT
19650204,1965,65003,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.001,20,SOVIET NUCLEAR STUDY,NA,TUNNEL
19650204,1965,65004,USA,NTS,ISC,37.07,-116.03,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,CASHMERE,SHAFT
19650212,1965,65005,USA,NTS,DOE,37,-116,0,0,0,0.33,0.33,WEAPONS DEVELOPMENT PROGRAM,ALPACA,SHAFT
19650216,1965,65006,USA,NTS,ISC,36.99,-116,0,0,0,10.1,10.1,WEAPONS DEVELOPMENT PROGRAM,MERLIN,SHAFT
19650218,1965,65007,USA,NTS,ISC,36.72,-115.94,0,0,0,0,20,BRITISH/FRENCH/US NUCLEAR STUDY,WISHBONE,SHAFT
19650219,1965,65052,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,SEERSUCKER,SHAFT
19650227,1965,65008,FRANCE,IN ECKER ALG,ISC,24.16,5.03,5.6,0,0,0,150,WEAPONS DEVELOPMENT PROGRAM,SAPHIR,GALLERY
19650303,1965,65009,USSR,SEMI KAZAKH,ISC,49.81,78.13,5.5,0,0,0.001,20,WEAPONS DEVELOPMENT PROGRAM,NA,TUNNEL
19650303,1965,65010,USA,NTS,ISC,37.01,-116.08,0,0,0,20,200,WEAPONS DEVELOPMENT PROGRAM,WAGTAIL,SHAFT
19650320,1965,65053,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,SUEDE,SHAFT
19650326,1965,65011,USA,NTS,ISC,37.11,-116.09,0,0,0,20,200,WEAPONS DEVELOPMENT PROGRAM,CUP,SHAFT
19650327,1965,65012,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.001,20,WEAPONS DEVELOPMENT PROGRAM,NA,TUNNEL
19650330,1965,65013,USSR,BASHKIR RUSS,MTM,53,56,0,0,0,2.3,2.3,PEACEFUL NUCLEAR EXPLOSION,BUTAN 1+2,SHAFT
19650405,1965,65015,USA,NTS,ISC,36.95,-116.08,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,KESTREL,SHAFT
19650414,1965,65016,USA,NTS,ISC,37.26,-116.54,0,0,0,4.3,4.3,PEACEFUL NUCLEAR EXPLOSION,PALANQUIN,CRATER
19650421,1965,65017,USA,NTS,ISC,36.97,-116.23,5,0,0,0,20,BRITISH/FRENCH/US NUCLEAR STUDY,GUM DROP,TUNNEL
19650422,1965,65054,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,CHENILLE,SHAFT
19650423,1965,65018,USA,NTS,ISC,36.96,-115.94,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,MUSCOVY,SHAFT
19650507,1965,65019,USA,NTS,ISC,37.14,-116.1,0,0,0,7,7,BRITISH/FRENCH/US NUCLEAR STUDY,TEE,SHAFT
19650511,1965,65020,USSR,SEMI KAZAKH,ISC,49.79,78.12,4.9,0,0,0.001,20,WEAPONS DEVELOPMENT PROGRAM,NA,TUNNEL
19650512,1965,65021,USA,NTS,ISC,37.2,-116.5,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,BUTEO,SHAFT
19650514,1965,65022,CHINA,LOP NOR,DOE,41.5,89,0,0,0,35,35,WEAPONS DEVELOPMENT PROGRAM,NA,AIRDROP
19650514,1965,65023,USA,NTS,ISC,37.07,-116.05,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,SCAUP,SHAFT
19650514,1965,65024,USA,NTS,DOE,37,-116,0,0,0,0.75,0.75,WEAPONS DEVELOPMENT PROGRAM,CAMBRIO,SHAFT
19650521,1965,65025,USA,NTS,ISC,37.07,-116.04,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,TWEED,SHAFT
19650530,1965,65026,FRANCE,IN ECKER ALG,DOE,24,5,0,0,0,0,5,WEAPONS DEVELOPMENT PROGRAM,JADE,GALLERY
19650610,1965,65027,USSR,BASHKIR RUSS,MTM,53,56,0,0,0,7.6,7.6,PEACEFUL NUCLEAR EXPLOSION,BUTAN,SHAFT
19650611,1965,65028,USA,NTS,ISC,37,-116.05,0,0,0,1.3,1.3,WEAPONS DEVELOPMENT PROGRAM,PETREL,SHAFT
19650611,1965,65055,USA,NTS,DOE,37,-116,0,0,0,0,20,WEAPONS DEVELOPMENT PROGRAM,ORGANDY,SHAFT
19650616,1965,65029,USA,NTS,ISC,36.83,-116.06,0,0,0,0,20,BRITISH/FRENCH/US NUCLEAR STUDY,DILUTED WATERS,SHAFT
19650617,1965,65030,USSR,SEMI KAZAKH,ISC,49.83,78.17,5.8,0,0,0.001,20,PEACEFUL NUCLEAR EXPLOSION,NA,TUNNEL
19650617,1965,65031,USA,NTS,DOE,37,-116,0,0,0,0,20,BRITISH/FRENCH/US NUCLEAR STUDY,TINYTOT,TUNNEL
